FS   Other            RA (J2000)  Dec              I                  Z                 J(98)                H(98)                K(98)                L                 M
#    Name                                   mag    sem   N     mag    sem   N     mag     sem    N     mag     sem    N      mag    sem    N     mag    sem   N    mag    sem   N 
&    HD225023     00 02 46.03 +35 48 55.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.97 (0.02) [01]  6.94 (0.03) [04]
&    G158-27      00 06 43.0  -07 32 42.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     6.98 (0.02) [02]   &     &     &
101  fs2-29       00 13 43.58 +30 37 59.9    &     &     &      &     &     &    10.553 (0.008) [08]  10.420 (0.007) [08]  10.381 (0.006) [08]  10.33 (0.03) [03]   &     &     &
&    HD1160       00 15 57.30 +04 15 04.0    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.05 (0.01) [02]  7.04 (0.03) [01]
102  p525-e       00 24 28.50 +07 49 00.1    &     &     &      &     &     &    11.579 (0.008) [07]  11.274 (0.005) [06]  11.211 (0.005) [06]    &     &     &     &     &     &
&    HD3029       00 33 39.53 +20 26 01.7    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.07 (0.01) [01]   &     &     &
1    G158-100     00 33 54.48 -12 07 58.1  13.92 (0.02) [01]  13.72 (0.01)  &    13.396 (0.008) [10]  13.024 (0.006) [09]  12.955 (0.005) [09]    &     &     &     &     &     &
103  p241-g       00 36 29.60 +37 42 54.3    &     &     &      &     &     &    12.314 (0.011) [06]  11.820 (0.009) [06]  11.719 (0.007) [06]    &     &     &     &     &     &
2    SA92-342     00 55 09.93 +00 43 13.1  10.98 (0.01)  &    10.87 (0.01)  &    10.707 (0.006) [11]  10.509 (0.004) [12]  10.467 (0.004) [12]  10.44 (0.05) [01]   &     &     &
3    F11          01 04 21.63 +04 13 36.0  12.39 (0.02)  &    12.45 (0.02) [02]  13.041 (0.007) [07]  12.934 (0.006) [08]  12.827 (0.003) [07]    &     &     &     &     &     &
104  p194-r       01 04 59.43 +41 06 30.8    &     &     &      &     &     &    10.534 (0.007) [07]  10.437 (0.005) [07]  10.406 (0.005) [07]  10.35 (0.03) [01]   &     &     &
105  p527-f       01 19 08.19 +07 34 11.5    &     &     &      &     &     &    11.507 (0.010) [06]  11.055 (0.005) [06]  10.959 (0.005) [06]    &     &     &     &     &     &
106  p152-f       01 49 46.94 +48 37 53.2  13.34 (0.01) [02]  13.05 (0.02) [02]  12.460 (0.012) [06]  11.869 (0.008) [05]  11.745 (0.006) [05]    &     &     &     &     &     &
107  fs2-03       01 54 10.14 +45 50 38.0    &     &     &      &     &     &    10.490 (0.018) [03]  10.286 (0.016) [03]  10.226 (0.015) [03]    &     &     &     &     &     &
5    F16          01 54 34.65 -06 46 00.4  12.40 (0.01)  &      &     &     &    12.349 (0.006) [07]  12.345 (0.005) [08]  12.339 (0.005) [08]    &     &     &     &     &     &
4    SA93-317     01 54 37.70 +00 43 00.5  10.85 (0.01)  &    10.73 (0.01)  &    10.547 (0.006) [11]  10.318 (0.003) [11]  10.279 (0.002) [11]    &     &     &     &     &     &
&    BS696        02 25 16.03 +56 36 35.4    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &    5.31 (0.03) [01]
6    F22          02 30 16.64 +05 15 51.1  13.04 (0.02)  &    13.06 (0.01)  &    13.525 (0.009) [08]  13.468 (0.007) [08]  13.385 (0.005) [08]    &     &     &     &     &     &
7    SA94-242     02 57 21.21 +00 18 38.2  11.29 (0.01)  &    11.18 (0.01)  &    11.102 (0.003) [14]  10.981 (0.002) [14]  10.942 (0.002) [14]    &     &     &     &     &     &
108  fs2-04       03 01 09.85 +46 58 47.7    &     &     &      &     &     &    10.073 (0.007) [05]   9.795 (0.005) [06]   9.724 (0.004) [05]   9.66 (0.03) [01]   &     &     &
&    HD18881      03 03 31.94 +38 24 36.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.15 (0.01) [01]  7.17 (0.03) [02]
109  g-129        03 13 24.16 +18 49 38.4    &     &     &      &     &     &    11.434 (0.011) [07]  10.989 (0.008) [07]  10.795 (0.007) [06]    &     &     &     &     &     &
&    HD22686      03 38 55.09 +02 45 48.6    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &     7.19   &     &    7.15 (0.03) [01]
110  p533-d       03 41 02.22 +06 56 15.9    &     &     &      &     &     &    11.706 (0.007) [07]  11.410 (0.006) [07]  11.316 (0.004) [06]    &     &     &     &     &     &
111  fs2-05       03 41 08.55 +33 09 35.5    &     &     &      &     &     &    10.641 (0.009) [07]  10.389 (0.006) [07]  10.282 (0.006) [07]    &     &     &     &     &     &
&    BS1140       03 44 48.22 +24 17 22.1    &     &     &      &     &     &      &      &      &      &      &      &      &      &      &      &     &     &    5.57 (0.03) [02]
112  s618-d       03 47 40.70 -15 13 14.4    &     &     &      &     &     &    11.203 (0.009) [06]  10.950 (0.007) [06]  10.893 (0.005) [06]    &     &     &     &     &     &
10   GD50         03 48 50.20 -00 58 31.2  14.46 (0.02)  &    14.50 (0.02) [02]  15.229 (0.016) [09]  15.129 (0.015) [09]  14.987 (0.011) [09]    &     &     &     &     &     &
113  p117-f       04 00 14.07 +53 10 38.5    &     &     &      &     &     &    12.910 (0.009) [06]  12.553 (0.008) [06]  12.422 (0.006) [06]    &     &     &     &     &     &
114  Hy214        04 19 41.72 +16 45 22.4    &     &     &      &     &     &    14.357 (0.012) [06]  13.832 (0.011) [05]  13.426 (0.008) [05]    &     &     &     &     &     &
115  b216-b5      04 23 18.17 +26 41 16.4    &     &     &      &     &     &    12.576 (0.023) [07]  11.054 (0.015) [07]  10.124 (0.012) [06]    &     &     &     &     &     &
116  b216-b7      04 23 50.18 +26 40 07.7    &     &     &      &     &     &    12.741 (0.018) [06]  11.530 (0.011) [07]  10.914 (0.009) [07]    &     &     &     &     &     &
117  b216-b9      04 23 56.61 +26 36 38.0  13.55 (0.03) [02]  12.78 (0.03) [02]  11.489 (0.015) [07]  10.577 (0.009) [07]  10.050 (0.008) [07]    &     &     &     &     &     &
118  b216-b13     04 24 33.49 +26 33 37.8  12.93 (0.03) [01]  12.39 (0.04) [02]  11.441 (0.012) [06]  10.747 (0.008) [06]  10.426 (0.007) [06]    &     &     &     &     &     &
11   SA96-83      04 52 58.92 -00 14 41.6  11.48 (0.02)  &    11.35 (0.02)  &    11.341 (0.002) [18]  11.279 (0.002) [18]  11.252 (0.002) [18]    &     &     &     &     &     &
